,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,komsomolskiy,40.4272,71.7189,16.38,25.0,70.0,0.0,UZ,1635223815.0
1,butaritari,3.0707,172.7902,28.18,75.0,9.0,3.61,KI,1635223816.0
2,goderich,43.7501,-81.7165,6.21,81.0,100.0,7.2,CA,1635223818.0
3,mar del plata,-38.0023,-57.5575,13.2,80.0,0.0,1.34,AR,1635223805.0
4,sisophon,13.5859,102.9737,28.57,63.0,83.0,3.37,KH,1635223820.0
5,port alfred,-33.5906,26.891,18.53,84.0,54.0,8.76,ZA,1635223822.0
6,kapaa,22.0752,-159.319,23.37,88.0,40.0,5.14,US,1635223823.0
7,brindisi,40.5833,17.6667,13.86,76.0,73.0,1.2,IT,1635223825.0
8,port blair,11.6667,92.75,28.96,74.0,62.0,4.3,IN,1635223826.0
9,methoni,36.8197,21.7049,12.92,69.0,94.0,3.21,GR,1635223828.0
10,ushuaia,-54.8,-68.3,0.81,80.0,40.0,4.12,AR,1635223829.0
11,jamestown,42.097,-79.2353,11.6,98.0,90.0,0.45,US,1635223565.0
12,avarua,-21.2078,-159.775,24.03,69.0,75.0,3.6,CK,1635223737.0
13,chatham,51.3789,0.5279,9.95,95.0,64.0,0.45,GB,1635223833.0
14,marienburg,54.0359,19.0266,5.43,78.0,100.0,3.76,PL,1635223835.0
16,hithadhoo,-0.6,73.0833,28.44,68.0,100.0,7.48,MV,1635223838.0
17,mataura,-46.1927,168.8643,13.44,99.0,95.0,1.9,NZ,1635223839.0
18,lasa,46.6166,10.7002,5.45,63.0,6.0,2.23,IT,1635223841.0
19,paamiut,61.994,-49.6678,2.54,51.0,19.0,2.75,GL,1635223842.0
20,souillac,-20.5167,57.5167,24.21,78.0,75.0,8.75,MU,1635223844.0
21,upernavik,72.7868,-56.1549,-9.56,53.0,11.0,3.35,GL,1635223845.0
22,tongliao,43.6125,122.2653,14.57,32.0,100.0,7.69,CN,1635223847.0
23,khatanga,71.9667,102.5,-14.87,95.0,100.0,1.64,RU,1635223839.0
24,vestmanna,62.1564,-7.1664,5.51,100.0,90.0,3.6,FO,1635223849.0
26,leningradskiy,69.3833,178.4167,-12.29,94.0,100.0,8.47,RU,1635223852.0
